,fs,celltype,date,ch1_units,ch2_units
sweep1,100000.0,PVcell3,l3_10_03_,mV,pA
sweep2,100000.0,PVcell3,l3_10_03_,mV,pA
sweep3,100000.0,PVcell3,l3_10_03_,mV,pA
sweep4,100000.0,PVcell3,l3_10_03_,mV,pA
sweep5,100000.0,PVcell3,l3_10_03_,mV,pA
sweep6,100000.0,PVcell3,l3_10_03_,mV,pA
sweep7,100000.0,PVcell3,l3_10_03_,mV,pA
sweep8,100000.0,PVcell3,l3_10_03_,mV,pA
sweep9,100000.0,PVcell3,l3_10_03_,mV,pA
sweep10,100000.0,PVcell3,l3_10_03_,mV,pA
sweep11,100000.0,PVcell3,l3_10_03_,mV,pA
sweep12,100000.0,PVcell3,l3_10_03_,mV,pA
sweep13,100000.0,PVcell3,l3_10_03_,mV,pA
sweep14,100000.0,PVcell3,l3_10_03_,mV,pA
sweep15,100000.0,PVcell3,l3_10_03_,mV,pA
sweep16,100000.0,PVcell3,l3_10_03_,mV,pA
sweep17,100000.0,PVcell3,l3_10_03_,mV,pA
sweep18,100000.0,PVcell3,l3_10_03_,mV,pA
sweep19,100000.0,PVcell3,l3_10_03_,mV,pA
sweep20,100000.0,PVcell3,l3_10_03_,mV,pA
