,fs,celltype,date,ch1_units
sweep1,100000.0,PV,10_02_2014,mV
sweep2,100000.0,PV,10_02_2014,mV
sweep3,100000.0,PV,10_02_2014,mV
sweep4,100000.0,PV,10_02_2014,mV
sweep5,100000.0,PV,10_02_2014,mV
sweep6,100000.0,PV,10_02_2014,mV
sweep7,100000.0,PV,10_02_2014,mV
sweep8,100000.0,PV,10_02_2014,mV
sweep9,100000.0,PV,10_02_2014,mV
sweep10,100000.0,PV,10_02_2014,mV
sweep11,100000.0,PV,10_02_2014,mV
sweep12,100000.0,PV,10_02_2014,mV
sweep13,100000.0,PV,10_02_2014,mV
sweep14,100000.0,PV,10_02_2014,mV
sweep15,100000.0,PV,10_02_2014,mV
sweep16,100000.0,PV,10_02_2014,mV
sweep17,100000.0,PV,10_02_2014,mV
sweep18,100000.0,PV,10_02_2014,mV
sweep19,100000.0,PV,10_02_2014,mV
sweep20,100000.0,PV,10_02_2014,mV
