,fs,celltype,date,ch1_units,ch2_units
sweep1,100000.0,PV,10_03_2014,mV,pA
sweep2,100000.0,PV,10_03_2014,mV,pA
sweep3,100000.0,PV,10_03_2014,mV,pA
sweep4,100000.0,PV,10_03_2014,mV,pA
sweep5,100000.0,PV,10_03_2014,mV,pA
sweep6,100000.0,PV,10_03_2014,mV,pA
sweep7,100000.0,PV,10_03_2014,mV,pA
sweep8,100000.0,PV,10_03_2014,mV,pA
sweep9,100000.0,PV,10_03_2014,mV,pA
sweep10,100000.0,PV,10_03_2014,mV,pA
sweep11,100000.0,PV,10_03_2014,mV,pA
sweep12,100000.0,PV,10_03_2014,mV,pA
sweep13,100000.0,PV,10_03_2014,mV,pA
sweep14,100000.0,PV,10_03_2014,mV,pA
sweep15,100000.0,PV,10_03_2014,mV,pA
sweep16,100000.0,PV,10_03_2014,mV,pA
sweep17,100000.0,PV,10_03_2014,mV,pA
sweep18,100000.0,PV,10_03_2014,mV,pA
sweep19,100000.0,PV,10_03_2014,mV,pA
sweep20,100000.0,PV,10_03_2014,mV,pA
