ID_Object,Area,Diameter X,Diameter Y,Diameter Z,Distance from Origin,Distance to Image Border XY,Distance to Image Border XYZ,Generation,Intensity Center X,Intensity Center Y,Intensity Center Z,Intensity Max X,Intensity Max Y,Intensity Max Z,Intensity Mean X,Intensity Mean Y,Intensity Mean Z,Intensity Median X,Intensity Median Y,Intensity Median Z,Intensity Min X,Intensity Min Y,Intensity Min Z,Intensity StdDev X,Intensity StdDev Y,Intensity StdDev Z,Intensity Sum X,Intensity Sum Y,Intensity Sum Z,Number of Spots per Time Point,Number of Voxels,Position X,Position Y,Position Z,Time,Time Index,Total Number of Spots,Volume
0,3.93875646591,0.714125275612,0.714125275612,2.14237594604,68.00806427,4.55231952667,4.55231952667,0.0,21506.0,10714.0,3926.0,21506.0,12778.0,7814.0,5279.55615234,4387.50634766,3631.48828125,3949.61621094,3614.99169922,3466.43237305,108.0,0.0,1267.0,4330.58544922,3108.92407227,1113.79907227,3817119.0,3172167.0,2625566.0,,723.0,67.0172119141,-0.427050888538,11.5588827133,0.0,1.0,,0.572062075138
1,3.13799118996,0.637412726879,0.637412726879,1.91223812103,70.1553573608,13.3809661865,7.83049678802,0.0,15324.0,12245.0,2980.0,15324.0,14121.0,4802.0,4753.58398438,6307.86132812,2857.56640625,3762.19946289,5842.47607422,2809.73217773,538.0,155.0,1062.0,3156.13671875,3545.90527344,722.181213379,2433835.0,3229625.0,1463074.0,,512.0,68.2222976685,11.4722681046,11.6567468643,0.0,1.0,,0.406801015139
2,3.81746792793,0.703044056892,0.703044056892,2.10913228989,69.263885498,10.5618515015,7.53518390656,0.0,20779.0,8598.0,4133.0,21129.0,12483.0,6061.0,5379.5546875,4571.45849609,3718.40991211,4128.41162109,3717.12402344,3645.0,204.0,10.0,1041.0,4148.58251953,3297.81982422,712.108703613,3647338.0,3099449.0,2521082.0,,678.0,65.4360046387,19.6032009125,11.4598817825,0.0,1.0,,0.545842766762
3,3.12572145462,0.636165320873,0.636165320873,1.90849590302,73.434425354,16.3536605835,8.76198673248,0.0,13912.0,10521.0,352.0,15174.0,16736.0,5503.0,4557.64550781,6926.54541016,1805.78540039,3725.98779297,6550.04345703,1438.11206055,485.0,172.0,318.0,3082.92456055,3460.37060547,1153.86035156,2315284.0,3518685.0,917339.0,,508.0,71.1943740845,12.8669900894,12.5863656998,0.0,1.0,,0.404417425394
4,3.27941536903,0.651618003845,0.651618003845,1.95485401154,77.2217407227,13.5620422363,8.46107006073,0.0,15095.0,11677.0,6241.0,15095.0,13455.0,9506.0,4981.83544922,7434.66357422,5156.23388672,3969.77148438,7405.56054688,5080.8359375,205.0,1519.0,1837.0,3307.48974609,2874.77270508,1395.11499023,2725064.0,4066761.0,2820460.0,,547.0,68.4104766846,33.6407775879,12.3086280823,0.0,1.0,,0.434609413147
5,3.5458574295,0.677572071552,0.677572071552,2.03271627426,79.2588043213,10.0065307617,7.52584838867,0.0,19503.0,9714.0,2615.0,19503.0,11214.0,4572.0,5293.79980469,4951.11865234,2403.46508789,4122.95703125,4513.48046875,2389.71972656,253.0,578.0,783.0,3886.81860352,2445.46801758,740.929748535,3255687.0,3044938.0,1478131.0,,615.0,64.8679428101,44.0892982483,11.4123382568,0.0,1.0,,0.488637030125
6,3.97877073288,0.717743575573,0.717743575573,2.15323066711,108.076400757,11.7409439087,8.83343982697,0.0,19276.0,9342.0,5283.0,19276.0,11096.0,11906.0,5398.59375,5141.36328125,5568.27197266,4225.5,4977.64990234,5165.36376953,377.0,631.0,1301.0,3928.10131836,2591.80688477,2397.94775391,3892386.0,3706923.0,4014724.0,,721.0,76.9405899048,74.815246582,12.7801866531,0.0,1.0,,0.580801606178
7,3.85810852051,0.706776499748,0.706776499748,2.12032938004,108.210296631,13.7667388916,8.943400383,0.0,19591.0,12066.0,2321.0,19591.0,16211.0,7298.0,4969.85253906,6939.78271484,3654.11865234,3741.29638672,6496.42578125,3646.14013672,0.0,320.0,703.0,3878.32104492,3685.26831055,1081.43103027,3473927.0,4850908.0,2554229.0,,699.0,74.9202804565,77.0109634399,12.8736963272,0.0,1.0,,0.554582536221
8,3.65268135071,0.687702715397,0.687702715397,2.0631082058,118.924743652,15.3154830933,7.7248210907,0.0,16786.0,11430.0,6770.0,17654.0,13720.0,10286.0,5010.23095703,6530.70507812,6160.02978516,3924.90795898,6256.17626953,6255.72998047,447.0,1317.0,796.0,3513.67724609,2993.74414062,1735.15722656,3211558.0,4186182.0,3948579.0,,641.0,73.381072998,92.8608474731,11.6265068054,0.0,1.0,,0.510883748531
9,3.75422978401,0.697196602821,0.697196602821,2.09158992767,122.690345764,16.1378631592,8.99328899384,0.0,18989.0,11659.0,3796.0,18989.0,16231.0,7080.0,5236.68359375,5815.44970703,2801.25341797,4059.13476562,5358.38427734,2831.62011719,248.0,127.0,115.0,3912.6315918,4032.61254883,1524.73974609,3492868.0,3878905.0,1868436.0,,667.0,72.5539474487,98.0928115845,12.9092159271,0.0,1.0,,0.532335817814
